,Title,Production_Budget,Domestic_Gross,Worldwide_Gross,Profit,Original_Language,Popularity,TMDB_Rating,Vote_Count,Quarter_Num,Year,IMDB_Rating,Runtime,Genre
3,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,1748134200.0,en,80.773,8.3,13948,2,2018,8.5,149.0,Acti
26,Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864.0,en,20.709,6.6,14056,2,2015,7.0,124.0,Acti
59,Furious 7,190000000.0,353007020.0,1518722794.0,1328722794.0,en,20.396,7.3,6538,2,2015,7.2,137.0,Acti
20,The Avengers,225000000.0,623279547.0,1517935897.0,1292935897.0,en,50.288999999999994,7.6,19673,2,2012,8.1,143.0,Acti
38,Black Panther,200000000.0,700059566.0,1348258224.0,1148258224.0,en,44.14,7.4,12365,1,2018,7.3,134.0,Acti
37,Black Panther,200000000.0,700059566.0,1348258224.0,1148258224.0,en,2.0580000000000003,5.1,11,1,2011,7.3,134.0,Acti
96,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,1135772799.0,en,34.958,6.5,5995,2,2018,6.2,128.0,Acti
142,Frozen,150000000.0,400738009.0,1272469910.0,1122469910.0,en,9.677999999999999,5.8,987,1,2010,7.5,102.0,Adve
143,Frozen,150000000.0,400738009.0,1272469910.0,1122469910.0,en,9.677999999999999,5.8,987,1,2010,6.2,93.0,Adve
144,Frozen,150000000.0,400738009.0,1272469910.0,1122469910.0,en,26.183000000000003,7.3,9767,4,2013,7.5,102.0,Adve
145,Frozen,150000000.0,400738009.0,1272469910.0,1122469910.0,en,26.183000000000003,7.3,9767,4,2013,6.2,93.0,Adve
114,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0,en,26.701,7.7,5730,1,2012,7.2,129.0,Fami
115,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0,en,26.701,7.7,5730,1,2012,6.4,112.0,Dram
119,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0,en,31.793000000000003,6.9,11023,1,2017,6.4,112.0,Dram
118,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0,en,31.793000000000003,6.9,11023,1,2017,7.2,129.0,Fami
117,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0,fr,7.3629999999999995,5.9,1272,2,2014,6.4,112.0,Dram
116,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0,fr,7.3629999999999995,5.9,1272,2,2014,7.2,129.0,Fami
402,Minions,74000000.0,336045770.0,1160336173.0,1086336173.0,en,9.338,6.4,7343,3,2015,6.4,91.0,Adve
2,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,1072413963.0,en,44.383,7.3,13457,2,2015,7.3,141.0,Acti
39,Incredibles 2,200000000.0,608581744.0,1242520711.0,1042520711.0,en,36.286,7.6,6354,2,2018,7.7,118.0,Acti
44,Iron Man 3,200000000.0,408992272.0,1215392272.0,1015392272.0,en,32.093,6.9,14155,2,2013,7.2,130.0,Acti
126,Aquaman,160000000.0,335061807.0,1146894640.0,986894640.0,en,38.102,6.8,6155,4,2018,7.1,143.0,Acti
18,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,984846267.0,en,28.668000000000003,6.9,6335,2,2017,6.7,136.0,Acti
385,Despicable Me 3,75000000.0,264624300.0,1034727750.0,959727750.0,en,16.407,6.3,4106,2,2017,6.3,89.0,Adve
55,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,928790543.0,en,5.3389999999999995,6.1,4961,2,2011,6.2,154.0,Acti
47,Skyfall,200000000.0,304360277.0,1110526981.0,910526981.0,en,19.27,7.1,10441,4,2012,7.8,143.0,Acti
381,Despicable Me 2,76000000.0,368065385.0,975216835.0,899216835.0,en,19.014,6.9,7319,3,2013,7.4,98.0,Adve
28,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,894039076.0,en,20.961,5.8,4805,2,2014,5.7,165.0,Acti
13,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,890069413.0,en,39.137,7.4,14000,2,2016,7.8,147.0,Acti
316,Jumanji: Welcome to the Jungle,90000000.0,404508916.0,964496193.0,874496193.0,en,20.395,6.7,7213,4,2017,7.0,119.0,Acti
315,Jumanji: Welcome to the Jungle,90000000.0,404508916.0,964496193.0,874496193.0,en,20.395,6.7,7213,4,2017,7.0,119.0,Acti
146,Zootopia,150000000.0,341268248.0,1019429616.0,869429616.0,en,27.549,7.7,9977,1,2016,8.0,108.0,Adve
43,Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522.0,en,24.445,7.7,8340,2,2010,8.3,103.0,Adve
40,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,849102856.0,en,21.401,7.5,9296,4,2016,7.8,133.0,Acti
41,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,849102856.0,en,21.401,7.5,9296,4,2016,7.8,133.0,Acti
505,Bohemian Rhapsody,55000000.0,216303339.0,894985342.0,839985342.0,en,37.196999999999996,8.1,7629,4,2018,8.0,134.0,Biog
45,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,825491110.0,en,22.02,6.6,8713,1,2010,6.5,108.0,Adve
42,Finding Dory,200000000.0,486295561.0,1021215193.0,821215193.0,en,15.392999999999999,7.0,7845,2,2016,7.3,97.0,Adve
382,The Secret Life of Pets,75000000.0,368384330.0,886750534.0,811750534.0,en,9.908999999999999,6.1,5374,3,2016,6.5,87.0,Adve
8,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,809439099.0,en,26.22,7.7,13933,3,2012,8.4,164.0,Acti
85,The Jungle Book,175000000.0,364001123.0,962854547.0,787854547.0,en,20.129,6.8,5257,2,2016,7.4,106.0,Adve
301,Ice Age: Continental Drift,95000000.0,161321843.0,879765137.0,784765137.0,en,17.537,6.3,4598,3,2012,6.6,88.0,Adve
15,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,767003568.0,en,26.939,7.2,12076,4,2012,7.9,169.0,Adve
494,Deadpool,58000000.0,363070709.0,801025593.0,743025593.0,en,35.067,7.6,20175,1,2016,8.0,108.0,Acti
240,Venom,116000000.0,213511408.0,853628605.0,737628605.0,en,2.758,4.3,6,3,2011,6.7,112.0,Acti
241,Venom,116000000.0,213511408.0,853628605.0,737628605.0,en,44.007,6.6,6206,4,2018,6.7,112.0,Acti
188,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,734868047.0,en,20.187,7.4,11170,4,2013,7.5,146.0,Acti
16,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,710366855.0,en,21.275,7.6,7739,4,2013,7.8,161.0,Adve
89,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,705166350.0,en,46.775,7.4,11585,3,2017,7.5,133.0,Acti
17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,695577621.0,en,53.783,7.3,8392,4,2014,7.4,144.0,Adve
87,Inside Out,175000000.0,356461711.0,854235992.0,679235992.0,en,4.758,4.4,18,3,2011,8.2,95.0,Adve
